year_month,year,month,month_name,quarter,disease_name,disease_category,case_records,unique_patients,inpatient_case_records,total_claim_cost,avg_length_of_stay_days,female_patients,male_patients,readmission_30d_cases,avg_severity_score,readmission_ratio
1916-12,1916,12,December,4,Peanut (substance),Other,1,1,0,82.02,0.010416666666666666,0,1,1,15.000870340597167,1.0
1917-01,1917,1,January,1,Allergic disposition (finding),Other,1,1,0,82.02,0.010416666666666666,0,1,0,0.0008703405971681426,1.0
1917-02,1917,2,February,1,Shellfish (substance),Other,1,1,0,85.55,0.010416666666666666,0,1,1,15.00104159490642,1.0
1917-03,1917,3,March,1,Allergic disposition (finding),Other,1,1,0,85.55,0.010416666666666666,0,1,0,0.0010415949064214059,1.0
1917-03,1917,3,March,1,Chronic sinusitis (disorder),Other,1,1,0,90.91,0.010416666666666666,0,1,0,0.001301629778262055,1.0
1918-01,1918,1,January,1,Childhood asthma (disorder),Respiratory,1,1,0,516.95,0.010416666666666666,0,1,0,0.0219705209721035,1.0
1918-03,1918,3,March,1,Cow's milk (substance),Other,1,1,0,85.55,0.010416666666666666,0,1,1,15.00104159490642,1.0
1918-03,1918,3,March,1,Tree nut (substance),Other,1,1,0,85.55,0.010416666666666666,0,1,1,15.00104159490642,1.0
1918-04,1918,4,April,2,Allergic disposition (finding),Other,2,2,0,171.1,0.010416666666666666,0,2,0,0.0010415949064214059,1.0
1919-03,1919,3,March,1,Allergic disposition (finding),Other,1,1,0,82.02,0.010416666666666666,0,1,0,0.0008703405971681426,1.0
1919-09,1919,9,September,3,Allergic disposition (finding),Other,1,1,0,68.26,0.010416666666666666,1,0,0,0.00020278838886080504,1.0
1919-09,1919,9,September,3,Tree nut (substance),Other,1,1,0,68.26,0.010416666666666666,1,0,1,15.000202788388862,1.0
1920-03,1920,3,March,1,Allergic disposition (finding),Other,1,1,0,68.26,0.010416666666666666,1,0,0,0.00020278838886080504,1.0
1920-03,1920,3,March,1,Shellfish (substance),Other,1,1,0,68.26,0.010416666666666666,1,0,1,15.000202788388862,1.0
1920-04,1920,4,April,2,Shellfish (substance),Other,1,1,0,64.08,0.010416666666666666,1,0,1,15.0,1.0
1920-05,1920,5,May,2,Allergic disposition (finding),Other,1,1,0,64.08,0.010416666666666666,1,0,0,0.0,1.0
1920-08,1920,8,August,3,Cerebral palsy (disorder) | Dribbling from mouth (finding) | Excessive salivation (disorder) | Gastroesophageal reflux disease (disorder) | Intellectual disability (disorder) | Osteoporosis (disorder) | Poor muscle tone (finding) | Unable to swallow saliva (finding),Musculoskeletal,1,1,0,1868.18,0.08333333333333333,1,0,0,0.08767468080665035,1.0
1921-01,1921,1,January,1,Allergic disposition (finding),Other,1,1,0,85.55,0.010416666666666666,0,1,0,0.0010415949064214059,1.0
1921-01,1921,1,January,1,Shellfish (substance),Other,1,1,0,85.55,0.010416666666666666,0,1,1,15.00104159490642,1.0
1921-03,1921,3,March,1,Allergic disposition (finding),Other,1,1,0,85.55,0.010416666666666666,1,0,0,0.0010415949064214059,1.0
1921-04,1921,4,April,2,Fish (substance),Other,1,1,0,64.08,0.010416666666666666,1,0,1,15.0,1.0
1921-05,1921,5,May,2,Allergic disposition (finding),Other,1,1,0,64.08,0.010416666666666666,1,0,0,0.0,1.0
1921-10,1921,10,October,4,Shellfish (substance),Other,1,1,0,85.55,0.010416666666666666,0,1,1,15.00104159490642,1.0
1921-11,1921,11,November,4,Allergic disposition (finding),Other,1,1,0,85.55,0.010416666666666666,0,1,0,0.0010415949064214059,1.0
1922-05,1922,5,May,2,Well child visit (procedure),Other,1,1,0,266.69,0.010416666666666666,0,1,0,0.009829415183513789,1.0
1922-06,1922,6,June,2,Chronic sinusitis (disorder),Other,1,1,0,92.93,0.010416666666666666,0,1,0,0.0013996279948885687,1.0
1922-08,1922,8,August,3,Allergic disposition (finding),Other,2,2,0,171.1,0.010416666666666666,0,2,0,0.0010415949064214059,1.0
1923-04,1923,4,April,2,Allergic disposition (finding),Other,1,1,0,68.26,0.010416666666666666,1,0,0,0.00020278838886080504,1.0
1923-06,1923,6,June,2,Allergic disposition (finding),Other,1,1,0,64.08,0.010416666666666666,1,0,0,0.0,1.0
1923-09,1923,9,September,3,Medication review due (situation),Other,1,1,0,163.63,0.010416666666666666,1,0,0,0.004829565576816533,1.0
1923-11,1923,11,November,4,Loss of teeth (disorder),Other,1,1,0,1610.56,0.04546296296296296,0,1,0,0.07509828024357969,1.0
1923-12,1923,12,December,4,Well child visit (procedure),Other,1,1,0,163.63,0.010416666666666666,1,0,0,0.004829565576816533,1.0
1924-03,1924,3,March,1,Well child visit (procedure),Other,1,1,0,679.78,0.010416666666666666,1,0,0,0.02987005048363575,1.0
1924-06,1924,6,June,2,Medication review due (situation),Other,1,1,0,471.55,0.010416666666666666,1,0,0,0.0197679867964383,1.0
1924-07,1924,7,July,3,Acute bacterial sinusitis (disorder),Infectious,1,1,0,82.02,0.010416666666666666,0,1,0,0.0008703405971681426,1.0
1924-11,1924,11,November,4,Viral sinusitis (disorder),Infectious,1,1,0,64.08,0.010416666666666666,1,0,0,0.0,1.0
1924-12,1924,12,December,4,Medication review due (situation),Other,1,1,0,1395.33,0.010416666666666666,1,0,0,0.06458422073467614,1.0
1925-04,1925,4,April,2,History of appendectomy (situation),Other,1,1,1,21432.77,4.667129629629629,0,1,0,36.04629971449744,1.0
1925-06,1925,6,June,2,Medication review due (situation),Other,1,1,0,779.48,0.010416666666666666,1,0,1,15.034706893155747,1.0
1925-06,1925,6,June,2,Patient referral for dental care (procedure),Other,1,1,0,3759.18,0.13280092592592593,1,0,0,0.179516784789592,1.0
1925-07,1925,7,July,3,Chronic sinusitis (disorder),Other,1,1,0,92.93,0.010416666666666666,1,0,0,0.0013996279948885687,1.0
1925-08,1925,8,August,3,Chronic sinusitis (disorder),Other,1,1,0,92.93,0.010416666666666666,0,1,0,0.0013996279948885687,1.0
1925-11,1925,11,November,4,Allergic disposition (finding),Other,1,1,0,64.08,0.010416666666666666,1,0,0,0.0,1.0
1925-11,1925,11,November,4,Tree nut (substance),Other,1,1,0,64.08,0.010416666666666666,1,0,1,15.0,1.0
1925-12,1925,12,December,4,Well child visit (procedure),Other,2,2,0,375.01,0.010416666666666666,2,0,0,0.005987836577785842,1.0
1926-01,1926,1,January,1,Chronic sinusitis (disorder),Other,1,1,0,74.1,0.010416666666666666,1,0,0,0.00048610996564240727,1.0
1926-05,1926,5,May,2,Acute viral pharyngitis (disorder),Infectious,1,1,0,1524.66,0.010416666666666666,1,0,1,15.070858532297205,1.0
1926-06,1926,6,June,2,Well child visit (procedure),Other,1,1,0,163.63,0.010416666666666666,1,0,0,0.004829565576816533,1.0
1926-12,1926,12,December,4,Allergic disposition (finding),Other,1,1,0,68.26,0.010416666666666666,1,0,0,0.00020278838886080504,1.0
1926-12,1926,12,December,4,Well child visit (procedure),Other,1,1,0,649.5,0.010416666666666666,1,0,0,0.028401047513610594,1.0
1927-01,1927,1,January,1,Chronic sinusitis (disorder),Other,1,1,0,74.1,0.010416666666666666,1,0,0,0.00048610996564240727,1.0
1927-04,1927,4,April,2,History of appendectomy (situation),Other,1,1,1,6600.86,1.0358912037037038,0,1,0,35.319243547654835,1.0
1927-05,1927,5,May,2,History of appendectomy (situation),Other,1,1,1,5423.98,4.281261574074074,1,0,0,35.26885265903166,1.0
1927-08,1927,8,August,3,Allergic disposition (finding),Other,1,1,0,64.08,0.010416666666666666,1,0,0,0.0,1.0
1927-11,1927,11,November,4,Allergic disposition (finding),Other,1,1,0,85.55,0.010416666666666666,0,1,0,0.0010415949064214059,1.0
1927-12,1927,12,December,4,Chronic sinusitis (disorder),Other,1,1,0,92.93,0.010416666666666666,0,1,0,0.0013996279948885687,1.0
1927-12,1927,12,December,4,Medication review due (situation),Other,1,1,0,163.63,0.010416666666666666,1,0,1,15.004829565576816,1.0
1927-12,1927,12,December,4,Otitis media (disorder),Other,1,1,0,64.08,0.010416666666666666,1,0,0,0.0,1.0
1928-03,1928,3,March,1,Childhood asthma (disorder),Respiratory,1,1,0,682.52,0.010416666666666666,0,1,0,0.030002978757673694,1.0
1928-03,1928,3,March,1,Wheat (substance),Other,1,1,0,85.55,0.010416666666666666,0,1,1,15.00104159490642,1.0
1928-04,1928,4,April,2,Allergic disposition (finding),Other,1,1,0,85.55,0.010416666666666666,0,1,0,0.0010415949064214059,1.0
1928-10,1928,10,October,4,Allergic disposition (finding),Other,2,2,0,167.57,0.010416666666666666,0,2,0,0.0009559677517947743,1.0
1928-12,1928,12,December,4,Medication review due (situation),Other,1,1,0,610.01,0.010416666666666666,0,1,0,0.02648523089253088,1.0
1928-12,1928,12,December,4,Well child visit (procedure),Other,1,1,0,302.09,0.010416666666666666,1,0,0,0.01154680967290912,1.0
1929-01,1929,1,January,1,Chronic sinusitis (disorder),Other,1,1,0,92.93,0.010416666666666666,0,1,0,0.0013996279948885687,1.0
1929-01,1929,1,January,1,Medication review due (situation),Other,1,1,0,471.55,0.010416666666666666,0,1,0,0.0197679867964383,1.0
1929-03,1929,3,March,1,Chronic sinusitis (disorder),Other,1,1,0,74.1,0.010416666666666666,0,1,0,0.00048610996564240727,1.0
1929-03,1929,3,March,1,Medication review due (situation),Other,1,1,0,623.13,0.010416666666666666,0,1,0,0.02712173416091695,1.0
1929-05,1929,5,May,2,Adolescent idiopathic scoliosis (disorder),Other,1,1,0,948.35,0.02351851851851852,0,1,0,0.04292651261994248,1.0
1929-05,1929,5,May,2,Medication review due (situation),Other,1,1,0,471.55,0.010416666666666666,0,1,0,0.0197679867964383,1.0
1929-05,1929,5,May,2,Well child visit (procedure),Other,1,1,0,568.2,0.012060185185185186,0,1,0,0.02446025701676862,1.0
1929-08,1929,8,August,3,Epilepsy (disorder) | History of seizure (situation) | Seizure disorder (disorder),Neurological,2,2,0,23492.36,0.07427662037037037,1,1,1,8.066876953700811,1.0
1929-08,1929,8,August,3,Medication review due (situation),Other,1,1,0,471.55,0.010416666666666666,0,1,1,15.019767986796436,1.0
1929-08,1929,8,August,3,Viral sinusitis (disorder),Infectious,1,1,0,64.08,0.010416666666666666,0,1,0,0.0,1.0
1929-10,1929,10,October,4,Encounter for check up (procedure),Other,1,1,0,68.26,0.010416666666666666,1,0,0,0.00020278838886080504,1.0
1929-10,1929,10,October,4,History of appendectomy (situation),Other,1,1,1,5768.58,4.155752314814815,0,1,0,35.28531129773278,1.0
1929-11,1929,11,November,4,Medication review due (situation),Other,1,1,0,163.63,0.010416666666666666,0,1,0,0.004829565576816533,1.0
1929-12,1929,12,December,4,Allergic disposition (finding),Other,1,1,0,82.02,0.010416666666666666,0,1,0,0.0008703405971681426,1.0
1929-12,1929,12,December,4,Tree nut (substance),Other,1,1,0,82.02,0.010416666666666666,0,1,1,15.000870340597167,1.0
1929-12,1929,12,December,4,Viral sinusitis (disorder),Infectious,1,1,0,64.08,0.010416666666666666,1,0,0,0.0,1.0
1929-12,1929,12,December,4,Well child visit (procedure),Other,1,1,0,163.63,0.010416666666666666,1,0,1,15.004829565576816,1.0
1930-01,1930,1,January,1,Allergic disposition (finding),Other,1,1,0,64.08,0.010416666666666666,1,0,0,0.0,1.0
1930-01,1930,1,January,1,Otitis media (disorder),Other,1,1,0,64.08,0.010416666666666666,1,0,0,0.0,1.0
1930-02,1930,2,February,1,Well child visit (procedure),Other,1,1,0,859.87,0.010416666666666666,0,1,0,0.0386069310936698,1.0
1930-05,1930,5,May,2,Chronic sinusitis (disorder),Other,1,1,0,78.22,0.010416666666666666,1,0,0,0.0006859875163855929,1.0
1930-05,1930,5,May,2,Medication review due (situation),Other,1,1,0,471.55,0.010416666666666666,0,1,0,0.0197679867964383,1.0
1930-08,1930,8,August,3,Shellfish (substance),Other,1,1,0,82.02,0.010416666666666666,0,1,1,15.000870340597167,1.0
1930-09,1930,9,September,3,Allergic disposition (finding),Other,1,1,0,82.02,0.010416666666666666,0,1,0,0.0008703405971681426,1.0
